category_id,name,description,quantity,total_price,price_per_unit,date,transaction_type
7,Already,Interest opportunity action church leave center.,29,2208.2,76.14,2024-08-26,SO
1,Across,Discuss make there.,10,284.8,28.48,2024-09-15,ST
6,Several,Because perhaps that boy measure option their.,29,2267.88,78.2,2024-08-07,ST
3,Them,Her plan hold nor party wrong knowledge program.,14,1327.15,94.8,2024-09-26,SO
7,Cut,Board each size international matter to major.,27,463.65,17.17,2024-09-16,ST
3,Respond,Personal also what service determine.,13,358.04,27.54,2024-08-08,ST
3,According,Chair design view to still itself beat.,27,1208.12,44.75,2024-09-18,SO
7,Opportunity,Knowledge on eat western.,14,172.64,12.33,2024-08-05,ST
3,Husband,System four myself run report style event.,22,382.37,17.38,2024-09-28,SO
1,Suddenly,Expect teach science party a interest thus result.,28,2379.59,84.99,2024-08-29,SO
5,Hit,Site sport suggest high degree your you.,20,237.39,11.87,2024-08-27,ST
1,Argue,Always beat more wonder entire.,10,93.09,9.31,2024-08-30,ST
2,True,Industry one shake dark understand turn.,13,654.47,50.34,2024-08-19,ST
6,Lead,War policy forget.,14,1347.85,96.28,2024-09-17,SO
8,Easy,Author article police reason his.,10,659.54,65.95,2024-08-06,ST
5,College,Ahead theory Democrat apply born industry with.,14,1153.27,82.38,2024-08-12,ST
3,Product,Answer area including past century top.,30,2676.25,89.21,2024-09-09,SO
4,Watch,American a right.,17,1309.72,77.04,2024-08-24,SO
8,Green,Wonder window source blue account fly.,20,1806.44,90.32,2024-08-24,SO
6,Stuff,Section series grow anyone still career.,20,467.56,23.38,2024-10-01,SO
8,Activity,Writer east or common place remain win forget.,17,1310.87,77.11,2024-09-16,SO
3,Direction,Whom thank another current perhaps plant.,21,498.16,23.72,2024-09-16,SO
4,Push,Field vote pull ground.,18,1754.85,97.49,2024-09-24,SO
4,Sit,Idea still really middle brother popular piece.,24,1944.7,81.03,2024-09-06,SO
6,Light,Region wonder have no.,28,1647.81,58.85,2024-08-19,ST
7,Me,Two ready effect.,19,1634.49,86.03,2024-08-28,ST
5,Color,Subject current body team person put.,26,1844.67,70.95,2024-09-09,ST
5,Me,Short discussion anything score.,29,933.72,32.2,2024-09-14,SO
3,Property,Its find head work.,14,1183.62,84.54,2024-08-22,ST
3,Day,Go result but visit director.,11,127.44,11.59,2024-08-30,ST
3,Mind,Between class might official author machine thank.,26,1701.32,65.44,2024-08-30,SO
4,Ago,Building two wall big catch might.,25,2107.78,84.31,2024-08-26,ST
3,Within,Religious life author reduce nice scene they model.,15,840.45,56.03,2024-08-12,SO
8,Important,Foot laugh institution Republican see.,23,1477.55,64.24,2024-09-17,SO
6,Deal,Community college capital reason all say night.,18,1620.14,90.01,2024-09-08,SO
6,News,Strong war budget well imagine yet.,16,781.24,48.83,2024-09-09,SO
3,Whole,Eat know response material letter.,18,563.57,31.31,2024-10-01,SO
6,Fast,Door eight deep.,13,405.36,31.18,2024-09-21,SO
3,Despite,Create fall sit training way PM.,11,611.76,55.61,2024-09-14,SO
6,Mean,According seem shake activity enough know newspaper.,26,1360.59,52.33,2024-08-22,SO
6,But,Piece impact why response recognize road develop.,24,885.78,36.91,2024-09-12,ST
2,Fall,Land range produce billion.,19,403.32,21.23,2024-09-10,ST
4,Head,View point question option ground.,30,2140.95,71.37,2024-09-02,ST
2,Method,Data summer before attorney record rich.,16,896.72,56.05,2024-08-18,SO
1,Exactly,Those like matter future moment thing.,10,496.98,49.7,2024-09-04,ST
7,Cut,Yes nor meet truth practice strong recently change.,14,272.26,19.45,2024-08-30,SO
2,Other,Phone center certainly.,20,1896.87,94.84,2024-08-11,ST
5,Issue,Send safe positive speak very item history.,20,1838.47,91.92,2024-08-06,ST
2,Quickly,Anything campaign order.,22,780.45,35.48,2024-09-07,ST
7,Challenge,Myself fill yes prove industry.,10,626.38,62.64,2024-09-14,ST
2,Field,Table six clear local recognize anyone then.,21,1563.67,74.46,2024-09-12,ST
3,Personal,Serve list voice simple.,24,2309.03,96.21,2024-09-11,SO
7,Protect,Dream top set deal window early.,19,113.15,5.96,2024-08-04,ST
4,Must,Guy commercial argue receive answer.,20,1718.25,85.91,2024-09-20,ST
8,Student,Cut finally score response part network like member.,16,1257.85,78.62,2024-08-22,SO
8,Like,Thing show itself street.,21,507.89,24.19,2024-08-08,ST
1,Huge,Name life talk wide.,16,755.96,47.25,2024-10-02,ST
3,Teach,Effect it at product may surface police.,29,2022.67,69.75,2024-09-14,SO
3,More,Discussion seven particularly street party.,11,997.75,90.7,2024-09-27,ST
3,Term,As management source meeting dog administration nice task.,20,764.1,38.2,2024-09-29,SO
4,From,Attorney blood TV.,11,616.03,56.0,2024-08-31,SO
8,Recently,Occur at city.,17,666.02,39.18,2024-08-23,SO
3,Write,Allow people seek officer.,28,2556.14,91.29,2024-08-18,ST
4,Mention,Fish enter black whole avoid.,22,1078.92,49.04,2024-08-29,ST
6,Represent,History risk far its floor assume cell.,29,2102.68,72.51,2024-08-10,SO
1,Fall,Teach tend long.,16,184.29,11.52,2024-09-30,SO
8,Establish,Cold school give person.,28,2293.4,81.91,2024-08-24,ST
2,Property,Agent administration PM in as court executive.,21,178.2,8.49,2024-08-20,SO
3,Game,Around operation who all admit maintain.,30,2351.92,78.4,2024-08-19,SO
3,Church,Challenge force listen mention toward have discussion.,11,339.53,30.87,2024-09-08,SO
1,Party,Idea around suffer.,27,478.07,17.71,2024-09-09,ST
6,Mr,Worker difficult for local thus well identify.,24,2239.4,93.31,2024-08-05,ST
4,Mind,About value this no film ready attack forget.,30,2332.98,77.77,2024-08-03,ST
8,Five,Against field knowledge challenge.,11,599.9,54.54,2024-08-06,SO
5,Fall,Others because speak memory blue foreign.,14,921.63,65.83,2024-09-17,ST
1,There,Rule deep win process blue well natural generation.,27,1012.45,37.5,2024-08-03,ST
5,Entire,Young American social become.,12,717.7,59.81,2024-09-01,ST
1,Maybe,Worker tonight air do station community clear.,15,503.4,33.56,2024-08-22,SO
3,Current,Prove far then board sit.,10,262.42,26.24,2024-08-19,ST
6,Development,Gas need research herself less feel.,24,1942.16,80.92,2024-09-22,SO
6,Democratic,Grow home about parent.,15,583.13,38.88,2024-09-08,SO
7,We,Throughout stock whom side stay probably.,11,627.33,57.03,2024-08-04,SO
8,Stay,Father fill eat article least source indeed decade.,30,2348.21,78.27,2024-08-25,SO
7,No,Impact should rest case price.,27,2431.38,90.05,2024-09-18,ST
8,Difficult,No significant reveal baby.,10,508.4,50.84,2024-09-10,ST
7,Recently,As mother find.,30,2982.92,99.43,2024-08-21,SO
3,Before,Subject when back imagine half after personal.,10,271.79,27.18,2024-09-11,SO
1,See,Own some nor might fly.,18,1670.21,92.79,2024-08-14,ST
2,Company,Catch amount action region scientist red never let.,23,1801.62,78.33,2024-09-25,SO
2,Responsibility,Present cold many decade discussion camera hundred keep.,10,809.31,80.93,2024-08-14,SO
8,Spring,Type back establish black.,27,626.9,23.22,2024-08-25,SO
8,Ever,Foreign like tree piece.,21,1076.05,51.24,2024-09-10,SO
1,Certainly,Single start cost leg land.,26,2537.71,97.6,2024-08-29,SO
5,Building,You represent let happen relationship.,21,1218.14,58.01,2024-08-24,SO
4,Suffer,Best baby society himself place.,15,825.55,55.04,2024-09-01,ST
4,Support,Himself not just every trial.,11,1048.72,95.34,2024-08-26,SO
6,Beautiful,Yet professional now.,28,264.38,9.44,2024-08-24,SO
6,Way,Fear owner conference state entire political space.,21,2093.62,99.7,2024-08-17,SO
2,Run,Line his way step minute five store check.,22,1247.66,56.71,2024-09-11,SO
2,Ok,Note place home bank physical be young.,16,782.19,48.89,2024-09-23,SO
